Age,Job,Credit amount,Duration,Sex_female,Sex_male,Housing_free,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs
0.8571428571428571,0.6666666666666666,0.05056674369979091,0.029411764705882353,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.05357142857142857,0.6666666666666666,0.31368988665126,0.6470588235294118,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0.5357142857142857,0.3333333333333333,0.10157367668097282,0.11764705882352941,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.4642857142857143,0.6666666666666666,0.4199405744470122,0.5588235294117647,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0.6071428571428571,0.6666666666666666,0.25420931000330144,0.29411764705882354,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0.2857142857142857,0.3333333333333333,0.4844833278309673,0.47058823529411764,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.6071428571428571,0.6666666666666666,0.14223616154946628,0.29411764705882354,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.2857142857142857,1.0,0.3685484758446132,0.47058823529411764,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
0.75,0.3333333333333333,0.15456146142841423,0.11764705882352941,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.16071428571428573,1.0,0.27423792230659183,0.38235294117647056,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0.10714285714285714,0.6666666666666666,0.05749972488169913,0.11764705882352941,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
0.08928571428571429,0.6666666666666666,0.2232860129855838,0.6470588235294118,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
0.05357142857142857,0.6666666666666666,0.07246616044899307,0.11764705882352941,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0.7321428571428571,0.3333333333333333,0.05221745350500715,0.29411764705882354,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0.16071428571428573,0.6666666666666666,0.06344228018047761,0.16176470588235295,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0.23214285714285715,0.3333333333333333,0.056784417299438755,0.29411764705882354,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0.6071428571428571,0.6666666666666666,0.11962143721800374,0.29411764705882354,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.10714285714285714,0.6666666666666666,0.43039506988004844,0.38235294117647056,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.44642857142857145,1.0,0.678386706283702,0.29411764705882354,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0.21428571428571427,0.6666666666666666,0.17497523935292175,0.29411764705882354,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.5178571428571429,0.6666666666666666,0.10366457576758006,0.07352941176470588,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.44642857142857145,0.6666666666666666,0.1318917134367778,0.029411764705882353,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
0.5178571428571429,0.3333333333333333,0.10955210740618467,0.08823529411764706,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0.44642857142857145,0.6666666666666666,0.08550676791020138,0.11764705882352941,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0.125,0.6666666666666666,0.1000880378562782,0.08823529411764706,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.30357142857142855,0.3333333333333333,0.061846594035435236,0.029411764705882353,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0.35714285714285715,0.3333333333333333,0.009684164190601958,0.029411764705882353,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.4107142857142857,0.6666666666666666,0.008748761967646087,0.11764705882352941,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0.26785714285714285,0.6666666666666666,0.11912622427643887,0.04411764705882353,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0.7857142857142857,0.6666666666666666,0.36238582590513924,0.8235294117647058,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0.30357142857142855,0.6666666666666666,0.09150434686915374,0.20588235294117646,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.14285714285714285,0.6666666666666666,0.20743919885550788,0.29411764705882354,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0.19642857142857142,0.6666666666666666,0.3090128755364807,0.20588235294117646,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0.6785714285714286,0.3333333333333333,0.055793991416309016,0.11764705882352941,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.25,1.0,0.06734896005282272,0.11764705882352941,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0.10714285714285714,0.3333333333333333,0.24738637614174094,0.6029411764705882,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0.21428571428571427,0.6666666666666666,0.32243864861890614,0.6470588235294118,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
